cveID,vendorProject,product,cwes,CWE_Name,dateAdded,dueDate,attack_vector,CWE_Likelihood,attack_complexity,cvss_score,severity,knownRansomwareCampaignUse,likelihood_prob,complexity_prob,ransomware_probability,risk_category
CVE-2024-37383,Roundcube,Webmail,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),2024-10-24,2024-11-14,NETWORK,High,LOW,6.1,MEDIUM,Unknown,0.9,0.9,0.9,High
CVE-2024-20481,Cisco,Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD),CWE-772,Missing Release of Resource after Effective Lifetime,2024-10-24,2024-11-14,NETWORK,High,LOW,5.8,MEDIUM,Unknown,0.9,0.9,0.9,High
CVE-2024-47575,Fortinet,FortiManager,CWE-306,Missing Authentication for Critical Function,2024-10-23,2024-11-13,NETWORK,High,LOW,9.8,CRITICAL,Unknown,0.9,0.9,0.9,High
CVE-2024-38094,Microsoft,SharePoint,CWE-502,Deserialization of Untrusted Data,2024-10-22,2024-11-12,NETWORK,Medium,LOW,7.2,HIGH,Unknown,0.6,0.9,0.72,High
CVE-2024-9537,ScienceLogic,SL1,,,2024-10-21,2024-11-11,NETWORK,,LOW,9.8,CRITICAL,Unknown,0.1,0.9,0.42,Medium
CVE-2024-40711,Veeam,Backup & Replication,CWE-502,Deserialization of Untrusted Data,2024-10-17,2024-11-07,NETWORK,Medium,LOW,9.8,CRITICAL,Known,0.6,0.9,0.72,High
CVE-2024-28987,SolarWinds,Web Help Desk,CWE-798,Use of Hard-coded Credentials,2024-10-15,2024-11-05,NETWORK,High,LOW,9.1,CRITICAL,Unknown,0.9,0.9,0.9,High
CVE-2024-9680,Mozilla,Firefox,CWE-416,Use After Free,2024-10-15,2024-11-05,NETWORK,High,LOW,9.8,CRITICAL,Unknown,0.9,0.9,0.9,High
CVE-2024-30088,Microsoft,Windows ,CWE-367,Time-of-check Time-of-use (TOCTOU) Race Condition,2024-10-15,2024-11-05,LOCAL,Medium,HIGH,7.0,HIGH,Unknown,0.6,0.3,0.48,Medium
CVE-2024-9380,Ivanti,Cloud Services Appliance (CSA),CWE-77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),2024-10-09,2024-10-30,NETWORK,High,LOW,7.2,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2024-9379,Ivanti,Cloud Services Appliance (CSA),CWE-89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),2024-10-09,2024-10-30,NETWORK,High,LOW,7.2,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2024-23113,Fortinet,Multiple Products,CWE-134,Use of Externally-Controlled Format String,2024-10-09,2024-10-30,NETWORK,High,LOW,9.8,CRITICAL,Unknown,0.9,0.9,0.9,High
CVE-2024-43573,Microsoft,Windows,,,2024-10-08,2024-10-29,NETWORK,,LOW,8.1,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2024-43572,Microsoft,Windows,,,2024-10-08,2024-10-29,LOCAL,,LOW,7.8,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2024-43047,Qualcomm,Multiple Chipsets ,CWE-416,Use After Free,2024-10-08,2024-10-29,LOCAL,High,LOW,7.8,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2024-45519,Synacor,Zimbra Collaboration,,,2024-10-03,2024-10-24,NETWORK,,LOW,9.8,CRITICAL,Unknown,0.1,0.9,0.42,Medium
CVE-2024-29824,Ivanti,Endpoint Manager (EPM),CWE-89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),2024-10-02,2024-10-23,ADJACENT_NETWORK,High,LOW,8.8,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2019-0344,SAP,Commerce Cloud,CWE-502,Deserialization of Untrusted Data,2024-09-30,2024-10-21,NETWORK,Medium,LOW,9.8,CRITICAL,Unknown,0.6,0.9,0.72,High
CVE-2021-4043,Motion Spell,GPAC,CWE-476,NULL Pointer Dereference,2024-09-30,2024-10-21,LOCAL,Medium,LOW,5.5,MEDIUM,Unknown,0.6,0.9,0.72,High
CVE-2020-15415,DrayTek,Multiple Vigor Routers,CWE-78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),2024-09-30,2024-10-21,NETWORK,High,LOW,9.8,CRITICAL,Unknown,0.9,0.9,0.9,High
CVE-2023-25280,D-Link,DIR-820 Router,CWE-78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),2024-09-30,2024-10-21,NETWORK,High,LOW,9.8,CRITICAL,Unknown,0.9,0.9,0.9,High
CVE-2024-7593,Ivanti,Virtual Traffic Manager,"CWE-287, CWE-303",,2024-09-24,2024-10-15,NETWORK,,LOW,9.8,CRITICAL,Unknown,0.1,0.9,0.42,Medium
CVE-2024-8963,Ivanti,Cloud Services Appliance (CSA),CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),2024-09-19,2024-10-10,NETWORK,High,LOW,9.1,CRITICAL,Unknown,0.9,0.9,0.9,High
CVE-2020-14644,Oracle,WebLogic Server,,,2024-09-18,2024-10-09,NETWORK,,LOW,9.8,CRITICAL,Unknown,0.1,0.9,0.42,Medium
CVE-2022-21445,Oracle,ADF Faces,,,2024-09-18,2024-10-09,NETWORK,,LOW,9.8,CRITICAL,Unknown,0.1,0.9,0.42,Medium
CVE-2020-0618,Microsoft,SQL Server,,,2024-09-18,2024-10-09,NETWORK,,LOW,8.8,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2024-27348,Apache,HugeGraph-Server,CWE-284,Improper Access Control,2024-09-18,2024-10-09,NETWORK,,LOW,9.8,CRITICAL,Unknown,0.1,0.9,0.42,Medium
CVE-2014-0502,Adobe,Flash Player,CWE-399,,2024-09-17,2024-10-08,NETWORK,,LOW,8.8,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2013-0648,Adobe,Flash Player,,,2024-09-17,2024-10-08,NETWORK,,LOW,8.8,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2013-0643,Adobe,Flash Player,CWE-264,,2024-09-17,2024-10-08,NETWORK,,LOW,8.8,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2014-0497,Adobe,Flash Player,CWE-191,Integer Underflow (Wrap or Wraparound),2024-09-17,2024-10-08,NETWORK,,LOW,9.8,CRITICAL,Unknown,0.1,0.9,0.42,Medium
CVE-2024-6670,Progress,WhatsUp Gold,CWE-89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),2024-09-16,2024-10-07,NETWORK,High,LOW,9.8,CRITICAL,Known,0.9,0.9,0.9,High
